"DXAFMRD0.Code.or.Value","DXAFMRD0.Value.Description","DXAFMRD0.Count","DXAFMRD0.Cumulative","DXAFMRD0.Skip.to.Item"
"36.5708 to 54.2636","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
