"LBDGLTSI.Code.or.Value","LBDGLTSI.Value.Description","LBDGLTSI.Count","LBDGLTSI.Cumulative","LBDGLTSI.Skip.to.Item"
"1.943 to 30.086","Range of Values",2084,2084,NA
".","Missing",629,2713,NA
