"FSD032F.Code.or.Value","FSD032F.Value.Description","FSD032F.Count","FSD032F.Cumulative","FSD032F.Skip.to.Item"
"1","Often true",89,89,NA
"2","Sometimes true",541,630,NA
"3","Never true",1834,2464,NA
"7","Refused",0,2464,NA
"9","Don't know",0,2464,NA
".","Missing",7884,10348,NA
