"BPXDI3.Code.or.Value","BPXDI3.Value.Description","BPXDI3.Count","BPXDI3.Cumulative","BPXDI3.Skip.to.Item"
"0 to 140","Range of Values",7276,7276,NA
".","Missing",2268,9544,NA
