"DSQIVB12.Code.or.Value","DSQIVB12.Value.Description","DSQIVB12.Count","DSQIVB12.Cumulative","DSQIVB12.Skip.to.Item"
"0.3 to 12000","Range of Values",2976,2976,NA
".","Missing",6583,9559,NA
