"VIDRVA.Code.or.Value","VIDRVA.Value.Description","VIDRVA.Count","VIDRVA.Cumulative","VIDRVA.Skip.to.Item"
"20","20/20",2885,2885,NA
"25","20/25",1632,4517,NA
"30","20/30",621,5138,NA
"40","20/40",281,5419,NA
"50","20/50",623,6042,NA
"60","20/60",87,6129,NA
"80","20/80",121,6250,NA
"200","20/200",164,6414,NA
"666","20/200+",72,6486,NA
".","Missing",494,6980,NA
