"AUXU6KR.Code.or.Value","AUXU6KR.Value.Description","AUXU6KR.Count","AUXU6KR.Cumulative","AUXU6KR.Skip.to.Item"
"-10 to 120","Range of Values",2721,2721,NA
"666","No response",10,2731,NA
"888","Could not obtain",13,2744,NA
".","Missing",290,3034,NA
