"LBXVMC.Code.or.Value","LBXVMC.Value.Description","LBXVMC.Count","LBXVMC.Cumulative","LBXVMC.Skip.to.Item"
"0.1768 to 3.32","Range of Values",2569,2569,NA
".","Missing",846,3415,NA
