"BIXC075K.Code.or.Value","BIXC075K.Value.Description","BIXC075K.Count","BIXC075K.Cumulative","BIXC075K.Skip.to.Item"
"34 to 154.64","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
