"DR1TVD.Code.or.Value","DR1TVD.Value.Description","DR1TVD.Count","DR1TVD.Cumulative","DR1TVD.Skip.to.Item"
"0 to 130.6","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
