"LBXF02.Code.or.Value","LBXF02.Value.Description","LBXF02.Count","LBXF02.Cumulative","LBXF02.Skip.to.Item"
"4.81 to 45.96","Range of Values",1235,1235,NA
".","Missing",1312,2547,NA
