"DSQTVB1.Code.or.Value","DSQTVB1.Value.Description","DSQTVB1.Count","DSQTVB1.Cumulative","DSQTVB1.Skip.to.Item"
"0 to 673.3","Range of Values",2322,2322,NA
".","Missing",8215,10537,NA
