"WBXP063.Code.or.Value","WBXP063.Value.Description","WBXP063.Count","WBXP063.Cumulative","WBXP063.Skip.to.Item"
"-88.4249 to 152.9924","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
