"DXXTRBMC.Code.or.Value","DXXTRBMC.Value.Description","DXXTRBMC.Count","DXXTRBMC.Cumulative","DXXTRBMC.Skip.to.Item"
"0.59 to 21.88","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
