"DR2IS180.Code.or.Value","DR2IS180.Value.Description","DR2IS180.Count","DR2IS180.Cumulative","DR2IS180.Skip.to.Item"
"0 to 18.614","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
