"SSDPHP.Code.or.Value","SSDPHP.Value.Description","SSDPHP.Count","SSDPHP.Cumulative","SSDPHP.Skip.to.Item"
"0.071 to 101","Range of Values",2051,2051,NA
".","Missing",3,2054,NA
