"RFXC073.Code.or.Value","RFXC073.Value.Description","RFXC073.Count","RFXC073.Cumulative","RFXC073.Skip.to.Item"
"-7.553 to 5.21","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
