"OPDSPPA.Code.or.Value","OPDSPPA.Value.Description","OPDSPPA.Count","OPDSPPA.Cumulative","OPDSPPA.Skip.to.Item"
"0","No",2684,2684,NA
"1","Questionable",127,2811,NA
"2","Yes",419,3230,NA
".","Missing",633,3863,NA
