"DRD370UQ.Code.or.Value","DRD370UQ.Value.Description","DRD370UQ.Count","DRD370UQ.Cumulative","DRD370UQ.Skip.to.Item"
"1 to 15","Range of Values",428,428,NA
".","Missing",9522,9950,NA
