"DXXL4BMC.Code.or.Value","DXXL4BMC.Value.Description","DXXL4BMC.Count","DXXL4BMC.Cumulative","DXXL4BMC.Skip.to.Item"
"3.93 to 48.92","Range of Values",6336,6336,NA
".","Missing",1849,8185,NA
