"WHD045.Code.or.Value","WHD045.Value.Description","WHD045.Count","WHD045.Cumulative","WHD045.Skip.to.Item"
"85 to 441","Range of Values",4638,4638,NA
"77777","Refused",1,4639,NA
"99999","Don't know",21,4660,NA
".","Missing",2229,6889,NA
