"LB2P2.Code.or.Value","LB2P2.Value.Description","LB2P2.Count","LB2P2.Cumulative","LB2P2.Skip.to.Item"
"0.04 to 2.03","Range of Values",105,105,NA
".","Missing",32,137,NA
