"LBD128LC.Code.or.Value","LBD128LC.Value.Description","LBD128LC.Count","LBD128LC.Cumulative","LBD128LC.Skip.to.Item"
"0","At or above the detection limit",39,39,NA
"1","Below lower detection limit",208,247,NA
".","Missing",0,247,NA
