"CBD640.Code.or.Value","CBD640.Value.Description","CBD640.Count","CBD640.Cumulative","CBD640.Skip.to.Item"
"0 to 65","Range of Values",2629,2629,NA
"66666666","Don't know what is 'whole grain'",106,2735,NA
"77777777","Refused",0,2735,NA
"99999999","Don't know",695,3430,NA
".","Missing",2592,6022,NA
