"LBDBCRLC.Code.or.Value","LBDBCRLC.Value.Description","LBDBCRLC.Count","LBDBCRLC.Cumulative","LBDBCRLC.Skip.to.Item"
"0","At or above the detection limit",610,610,NA
"1","Below lower detection limit",2832,3442,NA
".","Missing",168,3610,NA
