"URDEMMLC.Code.or.Value","URDEMMLC.Value.Description","URDEMMLC.Count","URDEMMLC.Cumulative","URDEMMLC.Skip.to.Item"
"0","At or above the detection limit",6,6,NA
"1","Below lower detection limit",2628,2634,NA
".","Missing",122,2756,NA
