"DR1TP226.Code.or.Value","DR1TP226.Value.Description","DR1TP226.Count","DR1TP226.Cumulative","DR1TP226.Skip.to.Item"
"0 to 2.532","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
