"LBDD3LC.Code.or.Value","LBDD3LC.Value.Description","LBDD3LC.Count","LBDD3LC.Cumulative","LBDD3LC.Skip.to.Item"
"0","At or above limit of detection",72,72,NA
"1","Below limit of detection",0,72,NA
".","Missing",1195,1267,NA
