"AUXR5CL.Code.or.Value","AUXR5CL.Value.Description","AUXR5CL.Count","AUXR5CL.Cumulative","AUXR5CL.Skip.to.Item"
"10 to 100","Range of Values",17,17,NA
"666","No response",1,18,NA
"888","Could not obtain",0,18,NA
".","Missing",2028,2046,NA
