"TYXP168.Code.or.Value","TYXP168.Value.Description","TYXP168.Count","TYXP168.Cumulative","TYXP168.Skip.to.Item"
"-296 to 1","Range of Values",3521,3521,NA
".","Missing",4948,8469,NA
