"DR1ILZ.Code.or.Value","DR1ILZ.Value.Description","DR1ILZ.Count","DR1ILZ.Cumulative","DR1ILZ.Skip.to.Item"
"0 to 48134","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
