"MCQ180K.Code.or.Value","MCQ180K.Value.Description","MCQ180K.Count","MCQ180K.Cumulative","MCQ180K.Skip.to.Item"
"1 to 79","Range of Values",358,358,NA
"80","80 years or older",2,360,NA
"77777","Refused",0,360,NA
"99999","Don't know",14,374,NA
".","Missing",9292,9666,NA
