"CBD130.Code.or.Value","CBD130.Value.Description","CBD130.Count","CBD130.Cumulative","CBD130.Skip.to.Item"
"0 to 1285","Range of Values",9903,9903,NA
"777777","Refused",8,9911,NA
"999999","Don't know",115,10026,NA
".","Missing",123,10149,NA
