"LBXCLZ.Code.or.Value","LBXCLZ.Value.Description","LBXCLZ.Count","LBXCLZ.Cumulative","LBXCLZ.Skip.to.Item"
"0.23 to 16.28","Range of Values",7262,7262,NA
"0.14","Fill Value of Limit of Detection",6,7268,NA
".","Missing",714,7982,NA
