"DS2TMFAT.Code.or.Value","DS2TMFAT.Value.Description","DS2TMFAT.Count","DS2TMFAT.Cumulative","DS2TMFAT.Skip.to.Item"
"0.025 to 3","Range of Values",78,78,NA
".","Missing",9466,9544,NA
