"OHD11LAS.Code.or.Value","OHD11LAS.Value.Description","OHD11LAS.Count","OHD11LAS.Cumulative","OHD11LAS.Skip.to.Item"
"0 to 13","Range of Values",1597,1597,NA
"99","Calculation cannot be determined",217,1814,NA
".","Missing",4944,6758,NA
