"RFXC080.Code.or.Value","RFXC080.Value.Description","RFXC080.Count","RFXC080.Cumulative","RFXC080.Skip.to.Item"
"-7.277 to 4.288","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
