"DR2IS080.Code.or.Value","DR2IS080.Value.Description","DR2IS080.Count","DR2IS080.Cumulative","DR2IS080.Skip.to.Item"
"0 to 4.266","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
