"URXGNS.Code.or.Value","URXGNS.Value.Description","URXGNS.Count","URXGNS.Cumulative","URXGNS.Skip.to.Item"
"0.21 to 24800","Range of Values",2557,2557,NA
".","Missing",91,2648,NA
