"DR2TWS.Code.or.Value","DR2TWS.Value.Description","DR2TWS.Count","DR2TWS.Cumulative","DR2TWS.Skip.to.Item"
"1","Community supply",5297,5297,NA
"2","Well or rain cistern",516,5813,NA
"3","Spring",98,5911,NA
"4","Don't drink tap water",1398,7309,NA
"91","Other",0,7309,NA
"99","Don't know",306,7615,NA
".","Missing",2198,9813,NA
