"DXXLAFAT.Code.or.Value","DXXLAFAT.Value.Description","DXXLAFAT.Count","DXXLAFAT.Cumulative","DXXLAFAT.Skip.to.Item"
"178.8 to 7248","Range of Values",5348,5348,NA
".","Missing",685,6033,NA
