"MCQ260BA.Code.or.Value","MCQ260BA.Value.Description","MCQ260BA.Count","MCQ260BA.Cumulative","MCQ260BA.Skip.to.Item"
"1","Mother",107,107,"MCQ250C"
"77","Refused",0,107,"MCQ250C"
"99","Don't know",1,108,"MCQ250C"
".","Missing",9385,9493,""
