"DMDHRBRN.Code.or.Value","DMDHRBRN.Value.Description","DMDHRBRN.Count","DMDHRBRN.Cumulative","DMDHRBRN.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",8052,8052,NA
"2","Born in Mexico",1666,9718,NA
"3","Born Elsewhere",966,10684,NA
"7","Refused",3,10687,NA
"9","Don't know",0,10687,NA
".","Missing",352,11039,NA
