"FSQ470.Code.or.Value","FSQ470.Value.Description","FSQ470.Count","FSQ470.Cumulative","FSQ470.Skip.to.Item"
"1","Yes",85,85,NA
"2","No",593,678,NA
"7","Refused",0,678,NA
"9","Don't know",2,680,NA
".","Missing",10359,11039,NA
