"DS1TCARB.Code.or.Value","DS1TCARB.Value.Description","DS1TCARB.Count","DS1TCARB.Cumulative","DS1TCARB.Skip.to.Item"
"0.001 to 99","Range of Values",943,943,NA
".","Missing",8601,9544,NA
