"URDAMCLC.Code.or.Value","URDAMCLC.Value.Description","URDAMCLC.Count","URDAMCLC.Cumulative","URDAMCLC.Skip.to.Item"
"0","At or above the detection limit",2486,2486,NA
"1","Below lower detection limit",4,2490,NA
".","Missing",115,2605,NA
