"LBXVST.Code.or.Value","LBXVST.Value.Description","LBXVST.Count","LBXVST.Cumulative","LBXVST.Skip.to.Item"
"0.0212 to 1","Range of Values",2808,2808,NA
".","Missing",737,3545,NA
