"BAXPFC12.Code.or.Value","BAXPFC12.Value.Description","BAXPFC12.Count","BAXPFC12.Cumulative","BAXPFC12.Skip.to.Item"
"1","Pass",8,8,"BAXPFC21"
"2","Dnp(did not pass)",3,11,""
".","Missing",3075,3086,""
