"AUXROIMC.Code.or.Value","AUXROIMC.Value.Description","AUXROIMC.Count","AUXROIMC.Cumulative","AUXROIMC.Skip.to.Item"
"1","Yes (checkbox checked)",89,89,NA
"2","No (checkbox unchecked)",3819,3908,NA
".","Missing",592,4500,NA
