"LBX156LA.Code.or.Value","LBX156LA.Value.Description","LBX156LA.Count","LBX156LA.Cumulative","LBX156LA.Skip.to.Item"
"1.1 to 92.3","Range of Values",2296,2296,NA
".","Missing",251,2547,NA
