"RFXC008.Code.or.Value","RFXC008.Value.Description","RFXC008.Count","RFXC008.Cumulative","RFXC008.Skip.to.Item"
"-3.605 to 3.511","Range of Values",51075,51075,NA
".","Missing",1,51076,NA
