"RDQ100.Code.or.Value","RDQ100.Value.Description","RDQ100.Count","RDQ100.Cumulative","RDQ100.Skip.to.Item"
"1","Yes",630,630,NA
"2","No",688,1318,NA
"7","Refused",0,1318,NA
"9","Don't know",13,1331,NA
".","Missing",8335,9666,NA
