"OPDSPOHS.Code.or.Value","OPDSPOHS.Value.Description","OPDSPOHS.Count","OPDSPOHS.Cumulative","OPDSPOHS.Skip.to.Item"
"0","No",3216,3216,NA
"1","Questionable",2,3218,NA
"2","Yes",3,3221,NA
"3","Yes, in center",2,3223,NA
".","Missing",640,3863,NA
