"URXNOS.Code.or.Value","URXNOS.Value.Description","URXNOS.Count","URXNOS.Cumulative","URXNOS.Skip.to.Item"
"0.0707 to 1.64","Range of Values",2422,2422,NA
".","Missing",272,2694,NA
