"LBCF06.Code.or.Value","LBCF06.Value.Description","LBCF06.Count","LBCF06.Cumulative","LBCF06.Skip.to.Item"
"0.506 to 1.93","Range of Values",246,246,NA
".","Missing",1,247,NA
