"DED125.Code.or.Value","DED125.Value.Description","DED125.Count","DED125.Cumulative","DED125.Skip.to.Item"
"15 to 480","Range of Values",3436,3436,NA
"0","No time spent outdoors",630,4066,NA
"14","1-14 minutes",47,4113,NA
"3333","At work or at school 9 to 5 seven days a week",17,4130,NA
"7777","Refused",0,4130,NA
"9999","Don't Know",10,4140,NA
".","Missing",5,4145,NA
