"AUXLR276.Code.or.Value","AUXLR276.Value.Description","AUXLR276.Count","AUXLR276.Cumulative","AUXLR276.Skip.to.Item"
"-19 to 63","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
