"DR1IS080.Code.or.Value","DR1IS080.Value.Description","DR1IS080.Count","DR1IS080.Cumulative","DR1IS080.Skip.to.Item"
"0 to 2.963","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
