"FIAINTRP.Code.or.Value","FIAINTRP.Value.Description","FIAINTRP.Count","FIAINTRP.Cumulative","FIAINTRP.Skip.to.Item"
"1","Yes",147,147,NA
"2","No",9836,9983,NA
".","Missing",139,10122,NA
