"OSQ120b.Code.or.Value","OSQ120b.Value.Description","OSQ120b.Count","OSQ120b.Cumulative","OSQ120b.Skip.to.Item"
"1","Yes",85,85,""
"2","No",190,275,"OSQ060"
"7","Refused",0,275,"OSQ060"
"9","Don't know",0,275,"OSQ060"
".","Missing",5943,6218,""
