"WHD080M.Code.or.Value","WHD080M.Value.Description","WHD080M.Count","WHD080M.Cumulative","WHD080M.Skip.to.Item"
"22","Drank a lot of water to lose weight",14,14,NA
".","Missing",6030,6044,NA
