"BIXS143K.Code.or.Value","BIXS143K.Value.Description","BIXS143K.Count","BIXS143K.Cumulative","BIXS143K.Skip.to.Item"
"201.99 to 872.49","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
