"AUXLR212.Code.or.Value","AUXLR212.Value.Description","AUXLR212.Count","AUXLR212.Cumulative","AUXLR212.Skip.to.Item"
"-19 to 76","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
