"DXXRRA.Code.or.Value","DXXRRA.Value.Description","DXXRRA.Count","DXXRRA.Cumulative","DXXRRA.Skip.to.Item"
"44.77 to 236.01","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
